SAMPID,Sample,Tissue
GTEX-1H1ZS-0011-R4b-SM-CKZO7,sample6382,Brain
GTEX-1H1ZS-0011-R5b-SM-CL53L,sample6383,Brain
GTEX-1H1ZS-0011-R6b-SM-A9G1F,sample6384,Brain
GTEX-1H1ZS-0011-R7a-SM-CL54P,sample6385,Brain
GTEX-1H1ZS-0011-R8b-SM-A9SKA,sample6386,Brain
GTEX-1H1ZS-0011-R9a-SM-CM2SO,sample6387,Brain
GTEX-1H1ZS-0326-SM-9WG6F,sample6388,Blood Vessel
GTEX-1H1ZS-0426-SM-9WG6G,sample6389,Skin
GTEX-1H1ZS-0526-SM-9WG5L,sample6390,Adipose Tissue
GTEX-1H1ZS-0626-SM-CNPPU,sample6391,Muscle
GTEX-1H1ZS-0726-SM-A9G3K,sample6392,Thyroid
GTEX-1H1ZS-0926-SM-ADEIT,sample6393,Blood Vessel
GTEX-1H1ZS-1026-SM-9WG6E,sample6394,Heart
GTEX-1H1ZS-1126-SM-9MQLJ,sample6395,Heart
GTEX-1H1ZS-1226-SM-9WYTV,sample6396,Blood Vessel
GTEX-1H1ZS-1326-SM-9WG74,sample6397,Adipose Tissue
GTEX-1H1ZS-1526-SM-9OSXR,sample6398,Esophagus
GTEX-1H1ZS-1626-SM-9KNU7,sample6399,Esophagus
GTEX-1H1ZS-1726-SM-9WYUC,sample6400,Esophagus
GTEX-1H1ZS-2626-SM-9QEIX,sample6401,Colon
GTEX-1H1ZS-2726-SM-9WG75,sample6402,Skin
GTEX-1H1ZS-2926-SM-9WPP2,sample6403,Brain
GTEX-1H1ZS-3026-SM-9KNUJ,sample6404,Brain
GTEX-1H23P-0005-SM-A9G14,sample6405,Blood
GTEX-1H23P-0011-R10a-SM-A96RS,sample6406,Brain
GTEX-1H23P-0011-R1a-SM-ACKVC,sample6407,Brain
GTEX-1H23P-0011-R2a-SM-CKZP3,sample6408,Brain
GTEX-1H23P-0011-R3b-SM-CL54S,sample6409,Brain
GTEX-1H23P-0011-R4b-SM-CL54R,sample6410,Brain
GTEX-1H23P-0011-R5a-SM-CKZOI,sample6411,Brain
GTEX-1H23P-0011-R6b-SM-A9G1H,sample6412,Brain
GTEX-1H23P-0011-R7b-SM-CKZP2,sample6413,Brain
GTEX-1H23P-0011-R8b-SM-A9G1G,sample6414,Brain
GTEX-1H23P-0011-R9a-SM-CM2T1,sample6415,Brain
GTEX-1H23P-0126-SM-ADEJ3,sample6416,Skin
GTEX-1H23P-0226-SM-9YFLO,sample6417,Adipose Tissue
GTEX-1H23P-0426-SM-9YFKR,sample6418,Blood Vessel
GTEX-1H23P-0526-SM-9WG6S,sample6419,Muscle
GTEX-1H23P-0626-SM-9WG6T,sample6420,Skin
GTEX-1H23P-1226-SM-9QEJ2,sample6421,Heart
GTEX-1H23P-1426-SM-9JGH5,sample6422,Esophagus
GTEX-1H23P-1526-SM-9WG7I,sample6423,Esophagus
GTEX-1H23P-1726-SM-A9SMN,sample6424,Adipose Tissue
GTEX-1H23P-2626-SM-9KNVN,sample6425,Colon
GTEX-1H23P-2926-SM-9WYU8,sample6426,Brain
GTEX-1H2FU-0004-SM-EYYW8,sample6427,Blood
GTEX-1H2FU-0011-R3b-SM-CKZP4,sample6428,Brain
GTEX-1H2FU-0011-R4a-SM-CL551,sample6429,Brain
GTEX-1H2FU-0011-R5b-SM-CL552,sample6430,Brain
GTEX-1H2FU-0011-R9b-SM-CE6S4,sample6431,Brain
GTEX-1H2FU-0126-SM-9WYSI,sample6432,Skin
GTEX-1H2FU-0226-SM-9YFKO,sample6433,Adipose Tissue
GTEX-1H2FU-0526-SM-ACKXO,sample6434,Muscle
GTEX-1H2FU-0626-SM-9WPPS,sample6435,Thyroid
GTEX-1H2FU-0826-SM-9WYSU,sample6436,Heart
GTEX-1H2FU-0926-SM-9WPPT,sample6437,Skin
GTEX-1H2FU-1426-SM-9WPO6,sample6438,Adipose Tissue
GTEX-1H2FU-1626-SM-9KNVZ,sample6439,Esophagus
GTEX-1H2FU-3126-SM-9WYUJ,sample6440,Brain
GTEX-1H3NZ-0001-SM-EYYVZ,sample6441,Blood
GTEX-1H3NZ-0005-SM-A96RG,sample6442,Blood
GTEX-1H3NZ-0011-R11b-SM-CE6SF,sample6443,Brain
GTEX-1H3NZ-0011-R1a-SM-CKZP5,sample6444,Brain
GTEX-1H3NZ-0011-R4a-SM-CL54T,sample6445,Brain
GTEX-1H3NZ-0011-R5a-SM-CM2SP,sample6446,Brain
GTEX-1H3NZ-0011-R6b-SM-A9G1N,sample6447,Brain
GTEX-1H3NZ-0011-R7a-SM-A9SKD,sample6448,Brain
GTEX-1H3NZ-0011-R8a-SM-CKZP6,sample6449,Brain
GTEX-1H3NZ-0011-R9a-SM-ADEH7,sample6450,Brain
GTEX-1H3NZ-0126-SM-ACKX7,sample6451,Skin
GTEX-1H3NZ-0326-SM-9MQL6,sample6452,Muscle
GTEX-1H3NZ-0926-SM-9YFM7,sample6453,Blood Vessel
GTEX-1H3NZ-1026-SM-A9SM5,sample6454,Heart
GTEX-1H3NZ-1126-SM-9WYT9,sample6455,Heart
GTEX-1H3NZ-1226-SM-9MQKT,sample6456,Blood Vessel
GTEX-1H3NZ-1326-SM-9JGHI,sample6457,Esophagus
GTEX-1H3NZ-1426-SM-9WYTA,sample6458,Esophagus
GTEX-1H3NZ-2526-SM-9KNVO,sample6459,Colon
GTEX-1H3NZ-2726-SM-9WYTQ,sample6460,Skin
GTEX-1H3NZ-2926-SM-9WPQ8,sample6461,Brain
GTEX-1H3NZ-3026-SM-9JGHW,sample6462,Brain
GTEX-1H3O1-0005-SM-ACKV8,sample6463,Blood
GTEX-1H3O1-0011-R10a-SM-CJI3O,sample6464,Brain
GTEX-1H3O1-0011-R11a-SM-A96RV,sample6465,Brain
GTEX-1H3O1-0011-R1b-SM-CL554,sample6466,Brain
GTEX-1H3O1-0011-R2b-SM-CKZOT,sample6467,Brain
GTEX-1H3O1-0011-R3a-SM-ACKVD,sample6468,Brain
GTEX-1H3O1-0011-R4b-SM-A9SKE,sample6469,Brain
GTEX-1H3O1-0011-R5b-SM-ADEH8,sample6470,Brain
GTEX-1H3O1-0011-R6b-SM-CL54U,sample6471,Brain
GTEX-1H3O1-0011-R7a-SM-CE6SJ,sample6472,Brain
GTEX-1H3O1-0011-R8a-SM-CL555,sample6473,Brain
GTEX-1H3O1-0011-R9b-SM-CM2SQ,sample6474,Brain
GTEX-1H3O1-0226-SM-9WYSW,sample6475,Heart
GTEX-1H3O1-0426-SM-9YFKY,sample6476,Skin
GTEX-1H3O1-0526-SM-9MQLS,sample6477,Adipose Tissue
GTEX-1H3O1-0626-SM-9MQM4,sample6478,Muscle
GTEX-1H3O1-1326-SM-9MQLD,sample6479,Skin
GTEX-1H3O1-1726-SM-9WYSR,sample6480,Brain
GTEX-1H3O1-1826-SM-A96TO,sample6481,Brain
GTEX-1H3VE-0011-R10b-SM-A9SKC,sample6482,Brain
GTEX-1H3VE-0011-R11b-SM-C1YRP,sample6483,Brain
GTEX-1H3VE-0011-R1a-SM-A9G1K,sample6484,Brain
GTEX-1H3VE-0011-R2a-SM-CE6SA,sample6485,Brain
GTEX-1H3VE-0011-R3a-SM-CE6SK,sample6486,Brain
GTEX-1H3VE-0011-R5a-SM-CKZOU,sample6487,Brain
GTEX-1H3VE-0011-R6b-SM-A9G1M,sample6488,Brain
GTEX-1H3VE-0011-R7b-SM-CE6S9,sample6489,Brain
GTEX-1H3VE-0011-R8b-SM-A9G1L,sample6490,Brain
GTEX-1H3VE-0126-SM-9WYTW,sample6491,Muscle
GTEX-1H3VE-0226-SM-9WYST,sample6492,Adipose Tissue
GTEX-1H3VE-0326-SM-9YFLH,sample6493,Skin
GTEX-1H3VE-0526-SM-9WYTC,sample6494,Blood Vessel
GTEX-1H3VE-0726-SM-9YFL5,sample6495,Skin
GTEX-1H3VE-0826-SM-9KNVQ,sample6496,Thyroid
GTEX-1H3VE-1426-SM-9WYSK,sample6497,Esophagus
GTEX-1H3VE-1926-SM-9YFL4,sample6498,Adipose Tissue
GTEX-1H3VE-2326-SM-9KNVU,sample6499,Colon
GTEX-1H3VE-2726-SM-9WPP3,sample6500,Brain
GTEX-1H3VE-2826-SM-9WPOL,sample6501,Brain
GTEX-1H3VY-0001-SM-EYYVY,sample6502,Blood
GTEX-1H3VY-0126-SM-ACKXD,sample6503,Skin
GTEX-1H3VY-0226-SM-9YFMF,sample6504,Adipose Tissue
GTEX-1H3VY-0326-SM-9WYU6,sample6505,Muscle
GTEX-1H3VY-0426-SM-9YFMD,sample6506,Blood Vessel
GTEX-1H3VY-1026-SM-ACKXF,sample6507,Blood Vessel
GTEX-1H3VY-1126-SM-A96TP,sample6508,Heart
GTEX-1H3VY-1326-SM-9WPOA,sample6509,Blood Vessel
GTEX-1H3VY-2026-SM-9JGHK,sample6510,Esophagus
GTEX-1H3VY-2226-SM-9WYU7,sample6511,Esophagus
GTEX-1H3VY-2426-SM-9WPPD,sample6512,Colon
GTEX-1H3VY-2526-SM-9KNW1,sample6513,Colon
GTEX-1H4P4-0006-SM-AHZ24,sample6514,Blood
GTEX-1H4P4-0011-R10b-SM-CE6SG,sample6515,Brain
GTEX-1H4P4-0011-R11b-SM-CE6S8,sample6516,Brain
GTEX-1H4P4-0011-R1b-SM-CL54V,sample6517,Brain
GTEX-1H4P4-0011-R6a-SM-ARZLR,sample6518,Brain
GTEX-1H4P4-0011-R7b-SM-ARU77,sample6519,Brain
GTEX-1H4P4-0226-SM-9YFKT,sample6520,Adipose Tissue
GTEX-1H4P4-0326-SM-9WYTD,sample6521,Adipose Tissue
GTEX-1H4P4-0626-SM-9YFKZ,sample6522,Muscle
GTEX-1H4P4-0726-SM-9YFLR,sample6523,Skin
GTEX-1H4P4-0826-SM-9WYUK,sample6524,Blood Vessel
GTEX-1H4P4-2126-SM-9WYSL,sample6525,Skin
GTEX-1H4P4-2726-SM-9JGGB,sample6526,Brain
GTEX-1HB9E-0006-SM-ARU6M,sample6527,Blood
GTEX-1HB9E-0011-R10a-SM-CJI3H,sample6528,Brain
GTEX-1HB9E-0011-R11b-SM-ARU79,sample6529,Brain
GTEX-1HB9E-0011-R2b-SM-A96RW,sample6530,Brain
GTEX-1HB9E-0011-R3a-SM-ARL7D,sample6531,Brain
GTEX-1HB9E-0011-R4b-SM-ARZLS,sample6532,Brain
GTEX-1HB9E-0011-R5b-SM-ARU78,sample6533,Brain
GTEX-1HB9E-0011-R6b-SM-A9G1P,sample6534,Brain
GTEX-1HB9E-0011-R7b-SM-A9G1Q,sample6535,Brain
GTEX-1HB9E-0011-R8b-SM-A9G1O,sample6536,Brain
GTEX-1HB9E-0126-SM-CM2S5,sample6537,Skin
GTEX-1HB9E-0226-SM-E9U4R,sample6538,Skin
GTEX-1HB9E-0326-SM-D3LA5,sample6539,Muscle
GTEX-1HB9E-0426-SM-CNPPV,sample6540,Adipose Tissue
GTEX-1HB9E-0526-SM-ARZNM,sample6541,Adipose Tissue
GTEX-1HB9E-0826-SM-CNNQJ,sample6542,Thyroid
GTEX-1HB9E-0926-SM-COH3D,sample6543,Blood Vessel
GTEX-1HB9E-1526-SM-D3LA6,sample6544,Esophagus
GTEX-1HB9E-1626-SM-ARL9J,sample6545,Esophagus
GTEX-1HB9E-2526-SM-D4P35,sample6546,Colon
GTEX-1HB9E-2826-SM-D3LAQ,sample6547,Blood Vessel
GTEX-1HB9E-2926-SM-D4P3S,sample6548,Brain
GTEX-1HB9E-3126-SM-AHZ4M,sample6549,Brain
GTEX-1HBPH-0011-R10a-SM-CE6SI,sample6550,Brain
GTEX-1HBPH-0011-R3a-SM-A96RY,sample6551,Brain
GTEX-1HBPH-0011-R4a-SM-A96RX,sample6552,Brain
GTEX-1HBPH-0011-R5b-SM-A9G1R,sample6553,Brain
GTEX-1HBPH-0011-R6a-SM-CKZOV,sample6554,Brain
GTEX-1HBPH-0011-R8b-SM-CL556,sample6555,Brain
GTEX-1HBPH-0011-R9a-SM-CMKH3,sample6556,Brain
GTEX-1HBPH-0126-SM-CNNQ7,sample6557,Heart
GTEX-1HBPH-0226-SM-9WYSM,sample6558,Heart
GTEX-1HBPH-0326-SM-CM2S8,sample6559,Blood Vessel
GTEX-1HBPH-0426-SM-B2LW5,sample6560,Skin
GTEX-1HBPH-0526-SM-9YFMN,sample6561,Adipose Tissue
GTEX-1HBPH-0726-SM-ARZNA,sample6562,Blood Vessel
GTEX-1HBPH-0826-SM-ARZNB,sample6563,Muscle
GTEX-1HBPH-0926-SM-A9SME,sample6564,Thyroid
GTEX-1HBPH-1026-SM-ADEIU,sample6565,Blood Vessel
GTEX-1HBPH-1126-SM-A96TU,sample6566,Esophagus
GTEX-1HBPH-1226-SM-9WPNW,sample6567,Esophagus
GTEX-1HBPH-1526-SM-ARZNC,sample6568,Esophagus
GTEX-1HBPH-2226-SM-9WYSO,sample6569,Adipose Tissue
GTEX-1HBPH-2526-SM-ACKXK,sample6570,Colon
GTEX-1HBPH-3026-SM-9WPNY,sample6571,Brain
GTEX-1HBPH-3126-SM-9WYUV,sample6572,Brain
GTEX-1HBPI-0005-SM-ARZLB,sample6573,Blood
GTEX-1HBPI-0011-R10a-SM-A96RZ,sample6574,Brain
GTEX-1HBPI-0011-R11b-SM-CE6SH,sample6575,Brain
GTEX-1HBPI-0011-R1b-SM-A9SKF,sample6576,Brain
GTEX-1HBPI-0011-R4a-SM-CJI3K,sample6577,Brain
GTEX-1HBPI-0011-R5a-SM-CKZOW,sample6578,Brain
GTEX-1HBPI-0011-R6b-SM-A9G1T,sample6579,Brain
GTEX-1HBPI-0011-R8a-SM-A9G1S,sample6580,Brain
GTEX-1HBPI-0011-R9b-SM-ARL76,sample6581,Brain
GTEX-1HBPI-0126-SM-CMKGQ,sample6582,Blood Vessel
GTEX-1HBPI-0226-SM-ADEJ7,sample6583,Muscle
GTEX-1HBPI-0526-SM-ARZNN,sample6584,Esophagus
GTEX-1HBPI-0626-SM-9WPP4,sample6585,Esophagus
GTEX-1HBPI-0826-SM-9WYTX,sample6586,Thyroid
GTEX-1HBPI-1426-SM-B2LW7,sample6587,Adipose Tissue
GTEX-1HBPI-1526-SM-C1YQ1,sample6588,Skin
GTEX-1HBPI-1626-SM-ADEJ5,sample6589,Blood Vessel
GTEX-1HBPI-1826-SM-ADEHE,sample6590,Adipose Tissue
GTEX-1HBPI-2126-SM-ARL9K,sample6591,Skin
GTEX-1HBPI-2226-SM-9WYTY,sample6592,Colon
GTEX-1HBPI-2726-SM-9WPPF,sample6593,Brain
GTEX-1HBPI-2826-SM-ARZNO,sample6594,Brain
GTEX-1HBPM-0006-SM-A9SKK,sample6595,Blood
GTEX-1HBPM-0011-R10a-SM-CJI3Q,sample6596,Brain
GTEX-1HBPM-0011-R6b-SM-ARU73,sample6597,Brain
GTEX-1HBPM-0011-R9b-SM-ARL7C,sample6598,Brain
GTEX-1HBPM-0226-SM-ARL9F,sample6599,Skin
GTEX-1HBPM-0326-SM-CMKGR,sample6600,Adipose Tissue
GTEX-1HBPM-0426-SM-CKZOO,sample6601,Muscle
GTEX-1HBPM-0626-SM-9YFMH,sample6602,Blood Vessel
GTEX-1HBPM-0726-SM-9YFL7,sample6603,Skin
GTEX-1HBPM-0926-SM-ARL9C,sample6604,Thyroid
GTEX-1HBPM-1026-SM-ARL9D,sample6605,Heart
GTEX-1HBPM-1126-SM-9YFL2,sample6606,Blood Vessel
GTEX-1HBPM-1226-SM-A9SM8,sample6607,Heart
GTEX-1HBPM-1326-SM-9YFMB,sample6608,Blood Vessel
GTEX-1HBPM-1426-SM-9WPPE,sample6609,Esophagus
GTEX-1HBPM-1526-SM-A9G3H,sample6610,Esophagus
GTEX-1HBPM-2626-SM-9WYU5,sample6611,Colon
GTEX-1HBPM-2926-SM-CL54E,sample6612,Brain
GTEX-1HBPN-0002-SM-EYYW2,sample6613,Blood
GTEX-1HBPN-0126-SM-CGQEF,sample6614,Skin
GTEX-1HBPN-0226-SM-9YFM1,sample6615,Skin
GTEX-1HBPN-0426-SM-ACKX8,sample6616,Blood Vessel
GTEX-1HBPN-0526-SM-A9SM6,sample6617,Muscle
GTEX-1HBPN-0926-SM-CGQEG,sample6618,Heart
GTEX-1HBPN-1026-SM-9YFLZ,sample6619,Blood Vessel
GTEX-1HBPN-1226-SM-B2LW9,sample6620,Thyroid
GTEX-1HBPN-1426-SM-9WPNO,sample6621,Esophagus
GTEX-1HBPN-1526-SM-9WYSB,sample6622,Adipose Tissue
GTEX-1HBPN-2026-SM-B2LWA,sample6623,Colon
GTEX-1HC8U-0001-SM-EYYW3,sample6624,Blood
GTEX-1HC8U-0005-SM-ADEGV,sample6625,Blood
GTEX-1HC8U-0526-SM-9WYSQ,sample6626,Blood Vessel
GTEX-1HC8U-0626-SM-B2LWB,sample6627,Heart
GTEX-1HC8U-0726-SM-ACKXL,sample6628,Heart
GTEX-1HC8U-0926-SM-A9G3L,sample6629,Adipose Tissue
GTEX-1HC8U-1126-SM-COH35,sample6630,Blood Vessel
GTEX-1HC8U-1226-SM-9WYUW,sample6631,Thyroid
GTEX-1HC8U-1326-SM-9YFMJ,sample6632,Skin
GTEX-1HC8U-1526-SM-9WPO4,sample6633,Esophagus
GTEX-1HC8U-1626-SM-CNPPG,sample6634,Esophagus
GTEX-1HC8U-1726-SM-A9SMF,sample6635,Esophagus
GTEX-1HC8U-2626-SM-CNPPH,sample6636,Muscle
GTEX-1HCU6-0002-SM-EYYW4,sample6637,Blood
GTEX-1HCU6-0005-SM-AHZ28,sample6638,Blood
GTEX-1HCU6-0011-R10a-SM-CKZP8,sample6639,Brain
GTEX-1HCU6-0011-R11b-SM-AHZ2F,sample6640,Brain
GTEX-1HCU6-0011-R3a-SM-ARU75,sample6641,Brain
GTEX-1HCU6-0011-R4b-SM-ARU74,sample6642,Brain
GTEX-1HCU6-0011-R5a-SM-ARU76,sample6643,Brain
GTEX-1HCU6-0011-R7b-SM-ARL77,sample6644,Brain
GTEX-1HCU6-0011-R8a-SM-CJI3R,sample6645,Brain
GTEX-1HCU6-0126-SM-CL54K,sample6646,Skin
GTEX-1HCU6-0226-SM-CGQES,sample6647,Adipose Tissue
GTEX-1HCU6-0426-SM-CM2SI,sample6648,Blood Vessel
GTEX-1HCU6-0526-SM-A9SKU,sample6649,Muscle
GTEX-1HCU6-1026-SM-A9G25,sample6650,Heart
GTEX-1HCU6-1326-SM-A96TZ,sample6651,Esophagus
GTEX-1HCU6-1626-SM-CMKGW,sample6652,Adipose Tissue
GTEX-1HCU6-2526-SM-ADEHL,sample6653,Skin
GTEX-1HCU6-2726-SM-A9SKV,sample6654,Colon
GTEX-1HCU6-2926-SM-B2LWV,sample6655,Colon
GTEX-1HCU6-3126-SM-CL54L,sample6656,Brain
GTEX-1HCU7-0001-SM-EZ6LZ,sample6657,Blood
GTEX-1HCU7-0006-SM-A9G19,sample6658,Blood
GTEX-1HCU7-0226-SM-CL545,sample6659,Skin
GTEX-1HCU7-0326-SM-CMKGI,sample6660,Adipose Tissue
GTEX-1HCU7-0426-SM-D3L8Q,sample6661,Muscle
GTEX-1HCU7-0626-SM-ADEHO,sample6662,Blood Vessel
GTEX-1HCU7-0726-SM-A9SL1,sample6663,Skin
GTEX-1HCU7-0826-SM-B2LX7,sample6664,Thyroid
GTEX-1HCU7-1226-SM-B2LX8,sample6665,Heart
GTEX-1HCU7-1326-SM-CNPPW,sample6666,Heart
GTEX-1HCU7-1526-SM-CM2S6,sample6667,Blood Vessel
GTEX-1HCU7-2026-SM-A9G2B,sample6668,Adipose Tissue
GTEX-1HCU7-2126-SM-A96SG,sample6669,Esophagus
GTEX-1HCU7-2226-SM-B2LXA,sample6670,Esophagus
GTEX-1HCU7-2426-SM-CKZOL,sample6671,Esophagus
GTEX-1HCU7-2626-SM-C1YQO,sample6672,Colon
GTEX-1HCU7-2726-SM-A9G3D,sample6673,Colon
GTEX-1HCU8-0005-SM-A96RL,sample6674,Blood
GTEX-1HCU8-0626-SM-A9SM9,sample6675,Skin
GTEX-1HCU8-0726-SM-ADEIR,sample6676,Adipose Tissue
GTEX-1HCU8-0926-SM-CM2S9,sample6677,Blood Vessel
GTEX-1HCU8-1126-SM-CM2SA,sample6678,Adipose Tissue
GTEX-1HCU8-1526-SM-ADEHG,sample6679,Blood Vessel
GTEX-1HCU8-2226-SM-9WPOV,sample6680,Esophagus
GTEX-1HCU8-2326-SM-ACKVL,sample6681,Esophagus
GTEX-1HCU8-2426-SM-A9SM7,sample6682,Esophagus
GTEX-1HCU8-2526-SM-CE6RX,sample6683,Skin
GTEX-1HCU9-0004-SM-EYYW6,sample6684,Blood
GTEX-1HCU9-0005-SM-A9G1A,sample6685,Blood
GTEX-1HCU9-0226-SM-9WPNT,sample6686,Thyroid
GTEX-1HCU9-0426-SM-9WYSD,sample6687,Skin
GTEX-1HCU9-0526-SM-CGQFP,sample6688,Blood Vessel
GTEX-1HCU9-0626-SM-ACKW6,sample6689,Adipose Tissue
GTEX-1HCU9-0926-SM-B2LXS,sample6690,Esophagus
GTEX-1HCU9-1326-SM-B2LXT,sample6691,Colon
GTEX-1HCU9-1526-SM-A9SL7,sample6692,Skin
GTEX-1HCU9-1826-SM-9YFME,sample6693,Blood Vessel
GTEX-1HCU9-1926-SM-9WYSE,sample6694,Muscle
GTEX-1HCUA-0004-SM-EYYW7,sample6695,Blood
GTEX-1HCUA-0006-SM-ACKV9,sample6696,Blood
GTEX-1HCUA-0126-SM-B2LWC,sample6697,Thyroid
GTEX-1HCUA-0326-SM-CGQEH,sample6698,Blood Vessel
GTEX-1HCUA-0426-SM-CGQEI,sample6699,Blood Vessel
GTEX-1HCUA-0526-SM-A9SMH,sample6700,Heart
GTEX-1HCUA-0626-SM-ACKVT,sample6701,Heart
GTEX-1HCUA-0826-SM-ADEHM,sample6702,Skin
GTEX-1HCUA-0926-SM-ADEIX,sample6703,Adipose Tissue
GTEX-1HCUA-1126-SM-B2LWD,sample6704,Esophagus
GTEX-1HCUA-1426-SM-9WPP7,sample6705,Esophagus
GTEX-1HCUA-1526-SM-A9G3M,sample6706,Esophagus
GTEX-1HCUA-1926-SM-B2LWE,sample6707,Colon
GTEX-1HCUA-2026-SM-CGQEJ,sample6708,Blood Vessel
GTEX-1HCUA-2226-SM-ADEHF,sample6709,Adipose Tissue
GTEX-1HCUA-2326-SM-ACKVJ,sample6710,Muscle
GTEX-1HCUA-2426-SM-ADEIS,sample6711,Skin
GTEX-1HCVE-0003-SM-EZ6LX,sample6712,Blood
GTEX-1HCVE-0006-SM-ADEH2,sample6713,Blood
GTEX-1HCVE-0011-R10a-SM-ARZLT,sample6714,Brain
GTEX-1HCVE-0011-R5b-SM-CKZP7,sample6715,Brain
GTEX-1HCVE-0011-R7b-SM-A9G1I,sample6716,Brain
GTEX-1HCVE-0011-R8a-SM-ARU7A,sample6717,Brain
GTEX-1HCVE-0126-SM-CGQEU,sample6718,Skin
GTEX-1HCVE-0226-SM-CGQEV,sample6719,Adipose Tissue
GTEX-1HCVE-0326-SM-CGQEW,sample6720,Muscle
GTEX-1HCVE-0526-SM-ACKW1,sample6721,Blood Vessel
GTEX-1HCVE-0726-SM-A96SH,sample6722,Thyroid
GTEX-1HCVE-0826-SM-CM2SF,sample6723,Heart
GTEX-1HCVE-0926-SM-CGQEX,sample6724,Blood Vessel
GTEX-1HCVE-1026-SM-ACKXR,sample6725,Blood Vessel
GTEX-1HCVE-1126-SM-9WPPG,sample6726,Heart
GTEX-1HCVE-1226-SM-9WPPH,sample6727,Esophagus
GTEX-1HCVE-1326-SM-A9G3Q,sample6728,Esophagus
GTEX-1HCVE-2326-SM-9WYUD,sample6729,Colon
GTEX-1HCVE-2526-SM-A9G2G,sample6730,Colon
GTEX-1HCVE-2726-SM-CL54F,sample6731,Skin
GTEX-1HCVE-2926-SM-9WPPJ,sample6732,Brain
GTEX-1HCVE-3026-SM-CL54G,sample6733,Brain
GTEX-1HFI6-0003-SM-EZ6M2,sample6734,Blood
GTEX-1HFI6-0005-SM-A9SK6,sample6735,Blood
GTEX-1HFI6-0011-R10b-SM-ARZLO,sample6736,Brain
GTEX-1HFI6-0011-R11b-SM-A96RU,sample6737,Brain
GTEX-1HFI6-0011-R2a-SM-CMKH5,sample6738,Brain
GTEX-1HFI6-0011-R3b-SM-A9SKB,sample6739,Brain
GTEX-1HFI6-0011-R4b-SM-A96RT,sample6740,Brain
GTEX-1HFI6-0011-R5a-SM-A9G1J,sample6741,Brain
GTEX-1HFI6-0011-R6b-SM-CM2SR,sample6742,Brain
GTEX-1HFI6-0011-R7b-SM-CM2SS,sample6743,Brain
GTEX-1HFI6-0011-R8a-SM-ARZLP,sample6744,Brain
GTEX-1HFI6-0011-R9b-SM-CMKH4,sample6745,Brain
GTEX-1HFI6-0126-SM-CNPPI,sample6746,Skin
GTEX-1HFI6-0226-SM-ADEHZ,sample6747,Skin
GTEX-1HFI6-0326-SM-ADEI5,sample6748,Adipose Tissue
GTEX-1HFI6-0426-SM-B2LXB,sample6749,Muscle
GTEX-1HFI6-0526-SM-CGQFG,sample6750,Blood Vessel
GTEX-1HFI6-0826-SM-9YFM2,sample6751,Heart
GTEX-1HFI6-1126-SM-9WYUM,sample6752,Esophagus
GTEX-1HFI6-1226-SM-A96SK,sample6753,Esophagus
GTEX-1HFI6-1326-SM-A9SL8,sample6754,Thyroid
GTEX-1HFI6-1526-SM-B2LXC,sample6755,Esophagus
GTEX-1HFI6-1726-SM-CGQFH,sample6756,Adipose Tissue
GTEX-1HFI6-3026-SM-CNPPJ,sample6757,Brain
GTEX-1HFI7-0001-SM-EZ6LY,sample6758,Blood
GTEX-1HFI7-0005-SM-ADEH1,sample6759,Blood
GTEX-1HFI7-0326-SM-9WPOX,sample6760,Thyroid
GTEX-1HFI7-0426-SM-9YFLP,sample6761,Blood Vessel
GTEX-1HFI7-0526-SM-A9SMA,sample6762,Heart
GTEX-1HFI7-0626-SM-ADEI3,sample6763,Blood Vessel
GTEX-1HFI7-0726-SM-ACKVN,sample6764,Adipose Tissue
GTEX-1HFI7-0826-SM-A9G23,sample6765,Heart
GTEX-1HFI7-1026-SM-A9G3I,sample6766,Esophagus
GTEX-1HFI7-1326-SM-9WPOW,sample6767,Esophagus
GTEX-1HFI7-1626-SM-9WYTR,sample6768,Colon
GTEX-1HFI7-1726-SM-A9G22,sample6769,Colon
GTEX-1HFI7-1826-SM-ACKXH,sample6770,Skin
GTEX-1HFI7-1926-SM-A96TQ,sample6771,Muscle
GTEX-1HFI7-2026-SM-CGQFR,sample6772,Adipose Tissue
GTEX-1HFI7-2226-SM-B2LXU,sample6773,Blood Vessel
GTEX-1HFI7-2326-SM-CGQFS,sample6774,Skin
GTEX-1HGF4-0002-SM-EZ6M7,sample6775,Blood
GTEX-1HGF4-0011-R10b-SM-CE6S5,sample6776,Brain
GTEX-1HGF4-0011-R11a-SM-C1YRR,sample6777,Brain
GTEX-1HGF4-0011-R1a-SM-CJI3S,sample6778,Brain
GTEX-1HGF4-0011-R3b-SM-CL54W,sample6779,Brain
GTEX-1HGF4-0011-R5b-SM-CM2ST,sample6780,Brain
GTEX-1HGF4-0011-R6a-SM-A96S1,sample6781,Brain
GTEX-1HGF4-0011-R7a-SM-A96S2,sample6782,Brain
GTEX-1HGF4-0011-R8b-SM-CKZP9,sample6783,Brain
GTEX-1HGF4-0011-R9a-SM-ADEH9,sample6784,Brain
GTEX-1HGF4-0126-SM-CNPPX,sample6785,Skin
GTEX-1HGF4-0226-SM-CNNQL,sample6786,Adipose Tissue
GTEX-1HGF4-0726-SM-9WYU9,sample6787,Thyroid
GTEX-1HGF4-0926-SM-9WPP8,sample6788,Esophagus
GTEX-1HGF4-2426-SM-ACKXM,sample6789,Skin
